,id,code,name_ru,name_en,genres,description,episodes_count,year
0,391.0,aldnoah-zero-2nd-season-aldnoa-zero-2,Альдноа.Зеро 2,Aldnoah.Zero 2nd Season,"Меха, Приключения, Фантастика","Кто бы мог подумать, что битва при замке графа Зацбаума закончится столь печально. Кто бы мог подумать, что победа достанется такой дорогой ценой – ценой множества жизней, утраченных обеими сторонами. И все ради низменных желаний, разрушающих человеческую натуру. Ради бравадных слов, принятых кем-то за истину. Ради эгоистичного стремления доказать превосходство... «Эта вражда – абсурд!» – сказала бы Ассейлам, наследная принцесса империи Верс. «Войн без жертв не бывает», – рассудительно произнес бы Инахо, обычный школьник, втянутый в бессмысленный конфликт, полыхающий между марсианами и землянами вот уже несколько десятилетий. Но подтвердить эти слова, похоже, теперь некому. Спустя полтора года после атаки на штаб Земного Альянса, едва зализав свежие раны, противники снова взялись за оружие. И на Земле и в космосе беспрерывно ведутся ожесточенные сражения. В мире за это время ничего не изменилось. Слейну Троярду, доказавшему свою непоколебимую верность империи, пожаловали титул рыцаря. Обзаведясь статусом и сопутствующим ему уважением, урожденный землянин может больше не опасаться ударов барской тростью. Судьбы принцессы Ассейлам и Инахо до сих пор неизвестны. А чудом оставшийся в живых граф Зацбаум, даже после всех своих злодеяний не умудренный горьким опытом, продолжает строить козни против Земли. Он убежден, что, потеряв замок, проиграл лишь жалкую битву, но не войну. Однако теперь, растратив все свои козыри, могущественная империя Верс уподобилась дрянному карточному шулеру и вытащила из под стола заранее припасенную «карту», такой же масти, что и пропавшая благородная принцесса, желающая мира во всем мире. (c) Joseph, shikimori.org",12.0,2015.0
0,392.0,juuou-mujin-no-fafnir-bezgranichnyy-fafnir,Безграничный Фафнир,Juuou Mujin no Fafnir,"Романтика, Фэнтези, Школа","С внезапным появлением монстров, впоследствии именуемыми драконами, мир изменился до неузнаваемости. Кроме того, вскоре после этого на свет стали появляться девушки, наделённые силой, с помощью которой они способны управлять драконами и которую назвали «Д». Для таких особенных девушек была создана специальная женская академия Мидгар. Туда поступает и главный герой, Ю Мононобэ — единственный парень, обладающий «Д», чьё существование и способности держатся в глубоком секрете. Но в первый же день с ним случается конфуз: он сталкивается с одной из учениц по имени Ирис и лицезрит её в чём мать родила. А немногим позже он выясняет, что здесь также учится и Мицуки, его младшая сестра, с которой они были разлучены ещё в детстве.",12.0,2015.0
0,395.0,drr-x2,Дюрарара!! x2,DRR 2,"Мистика, Приключения, Сверхъестественное, Экшен","— 6 месяцев прошло… Мы совсем не изменились… или так только кажется…
Миновало полгода после хаоса в Икэбукуро; и теперь город и люди в нем полностью вернулись к нормальной жизни. Старшеклассники наслаждаются днями своей юности, пока сильнейший (и опаснейший) человек в Икэбукуро усердно трудится на благо общества. Информатор разрабатывает новые планы, а Всадник без головы успешно ускользает от полиции, каждый раз скрываясь в ночи…
Однако скоро на смену воцарившемуся спокойствию вновь придет безумие. Медленно, но верно нечто неизвестное захватит город, и его жителям придется пройти через еще одну бурю.",36.0,2015.0
0,398.0,high-school-dxd-born,Демоны старшей школы 3,High School DxD BorN,"Демоны, Комедия, Приключения, Романтика, Сёнен, Школа, Этти","Оккультный клуб под руководством Риас Грэмори и её неподражаемый слуга и по-совместительству Император Красных Драконов Хёдо Иссей снова с нами! Так называемая ""Бригада Хаоса"" собирает свои силы, для того, чтобы захватить подмирье и взять власть в свои руки. Демоны, падшие ангелы, церковь и даже Боги Скандинавии объединяют свои силы против общего врага! И безусловно, это война не обойдёт стороной семью Грэмори...",12.0,2015.0
0,401.0,punchline-izyuminka,Изюминка,Punchline,"Комедия, Повседневность, Этти","Японский подросток Юта Иридацу ничем не выделялся из массы сверстников, разве что «сила юности» играла по-взрослому. Но после инцидента наш герой очнулся в обличие духа в доходном доме «Старина», а еготело захватил чужак. Все это растолковал новый учитель — призрачный кот-вуайерист Тираносукэ. Единственная надежда — священная индийская книга, спрятанная где-то в доме. Она поможет Юте одолеть самозванца. Но её надо найти. Задача непростая, ибо в «Старине» обитают четыре девушки — хозяйка дома, изобретательница Мэйка, артистка Микатан, хикикомори Ито и экзорцистка Лавра. Каждая попытка проверить их комнаты заканчивается щекотливой ситуацией. Не помогает и то, что Юта теперь бесплотный дух — его возбуждение после визуального контакта с женским бельем достигает таких высот, что опасность грозит уже Земле! Юта обязан распутать клубок загадок и спастись, иначе миру конец!",12.0,2015.0
0,402.0,triage-x-iskusstvennyy-otbor,Искусственный отбор,Triage X,"Приключения, Сёнен, Школа, Экшен, Этти","Больница Мочизуки может похвастаться одними из самых хорошо подготовленных (и не хуже обеспеченных) медсестер в городе. И хотя эти дамы тратят значительную часть своего дня на борьбу с болезнями, в свободное от работы время они сражаются с совершенно другим заболеванием... Под руководством председателя больницы несколько сотрудников и местных подростков образуют группу наемных убийц, нацеленных на «рак» общества и уничтожающих его, не позволяя беззаконию распространяться.",10.0,2015.0
0,404.0,saenai-heroine-no-sodatekata-kak-vospitat-iz-obychnoy-devushki-geroinyu,Как воспитать из обычной девушки героиню,Saenai Heroine no Sodatekata,"Комедия, Романтика, Школа, Этти","Томоя Аки — отаку, который увлекается созданием игр и работает на нескольких работах, лишь бы наскрести денег на любимое хобби. Однажды, спускаясь на велосипеде по длинному склону, он замечает шляпку, уносимую ветром. «Я должен воспользоваться этим шансом!» — думает парень и бросается вдогонку за головным убором, поймав который, получает редкую возможность познакомиться с его очаровательной обладательницей. И настолько эта девушка поражает Томою своей естественной красотой, что он решает сделать ее главной героиней своей игры в жанре симулятора свиданий.
Вдохновение, однако, быстро покидает юношу. Создав лишь пролог о встрече с прекрасной незнакомкой, он откладывает разработку на неопределенное время. Но судьба любит проказничать, и спустя месяц после этой истории она дает ему другую возможность. В один из дней Томою просят показать школу новой ученице, которая оказывается той самой девушкой — главной героиней его незаконченной игры. Ее зовут Мэгуми Като, и, несмотря на сногсшибательную красоту, ей не достает твердости характера. Однако упертый разработчик не думает сдаваться из-за такого пустяка: он хочет сделать из Мэгуми эталонную героиню, причем такую, чтобы в нее влюбились все геймеры Японии.
Но в одиночку создать игру практически невозможно. Поэтому юноша нуждается в некотором количестве узконаправленных специалистов, собрать которых в одну команду представляется той еще задачкой. Да и изменить характер Мэгуми будет сложно. Однако, как говорится, полез на гору — стремись к вершине. Потому будущий культовый продукт японской индустрии видеоигр несомненно будет закончен!",12.0,2015.0
0,408.0,isuca-klest,Клёст,Isuca,"Комедия, Приключения, Романтика, Экшен, Этти","Шиничиро ищет работу, чтобы отплатить счета за квартиру. Его учительница предлагает ему работать у её знакомых, просто убираясь у тех дома. Человеком, который соглашается принять Асано, оказывается Сакуя — 37-я глава клана Шимадзу, чьей работой является изгнание и уничтожение мистических существ. Шиничиро случайно выпускает одно из существ, которое некогда запечатала Сакуя. Теперь этим двоим придётся работать вместе, чтобы поймать его. Здесь и начинается наша комическая история об охоте за чудовищами!",10.0,2015.0
0,409.0,ansatsu-kyoushitsu-klass-ubiyts,Класс убийц,Ansatsu Kyoushitsu,"Комедия, Сверхъестественное, Сёнен, Школа, Экшен","В книгах написано «чти учителя своего», но скажите честно: разве вам в школе не попадались педагоги, которых хотелось чем-то от души приголубить… с летальным исходом? Вы-то наверняка удержались, а вот ребятам из 3-го «Е» японской школы «Кунугигаока» сдерживаться противопоказано. Ведь у них не обычный учитель,а неизвестное существо ,что угрожает уничтожением нашей Земли-матушки ...",22.0,2015.0
0,412.0,dungeon-ni-deai-wo-motomeru-no-wa-machigatteiru-darou-ka-mozhet-ya-vstrechu-tebya-v-podzemele,"Может, я встречу тебя в подземелье?",Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,"Комедия, Приключения, Романтика, Фэнтези, Экшен","Боги спустились в мир людей, спрятав дары и сокровища свои в бескрайнем лабирите - ""Подземелье"". Множество азартных молодцов привлекли эти богатства. И у в хода в ""Подземелье"" вырос целый город - Орарио, где вместе живут авантюристы, торговцы  и даже...боги! 

Смелый, но зеленый Белл Кранел тоже захотел испытать судьбу и отправился в этот загадочный город снов и желаний.",13.0,2015.0
